#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
type;url;string;string;string
;;mje;XXX;Muskum
;;kur;XXX;Kurdish
;;mfn;XXX;Cross River Mbembe
;;afi;XXX;Akrukay
;;kdf;XXX;Mamusi
;;xac;XXX;Kachari
;;kxe;XXX;Kakihum
;;ekg;XXX;Ekari
;;kln;XXX;Kalenjin
;;dnw;XXX;Western Dani
;;plt;XXX;Plateau Malagasy
;;drc;XXX;Minderico
;;yun;XXX;Bena (Nigeria)
;;kxo;XXX;Kanoé
;;lir;XXX;Liberian English
;;ohu;XXX;Old Hungarian
;;jbe;XXX;Judeo-Berber
;;csl;XXX;Chinese Sign Language
;;xao;XXX;Khao
;;nsg;XXX;Ngasa
;;kdn;XXX;Kunda
;;cje;XXX;Chru
;;zwa;XXX;Zay
;;kwp;XXX;Kodia
;;ykm;XXX;Kap
;;ptw;XXX;Pentlatch
;;xbm;XXX;Middle Breton
;;tmo;XXX;Temoq
;;kej;XXX;Kadar
;;rei;XXX;Reli
;;kvp;XXX;Kompane
;;sbg;XXX;Seget
;;dlm;XXX;Dalmatian
;;rog;XXX;Northern Roglai
;;aih;XXX;Ai-Cham
;;nxa;XXX;Nauete
;;jiu;XXX;Youle Jinuo
;;kbe;XXX;Kanju
;;zpi;XXX;Santa María Quiegolani Zapotec
;;fie;XXX;Fyer
;;erg;XXX;Sie
;;tsq;XXX;Thai Sign Language
;;odu;XXX;Odual
;;rac;XXX;Rasawa
;;bcp;XXX;Bali (Democratic Republic of Congo)
;;ztx;XXX;Zaachila Zapotec
;;zia;XXX;Zia
;;bcw;XXX;Bana
;;npo;XXX;Pochuri Naga
;;aey;XXX;Amele
;;mta;XXX;Cotabato Manobo
;;mtd;XXX;Mualang
;;kms;XXX;Kamasau
;;nkv;XXX;Nyika (Malawi and Zambia)
;;frt;XXX;Fortsenal
;;vol;XXX;Volapük
;;gso;XXX;Southwest Gbaya
;;dmv;XXX;Dumpas
;;sea;XXX;Semai
;;nrm;XXX;Narom
;;ipo;XXX;Ipiko
;;kbp;XXX;Kabiyè
;;akj;XXX;Aka-Jeru
;;kth;XXX;Karanga
;;mak;XXX;Makasar
;;tay;XXX;Atayal
;;noj;XXX;Nonuya
;;bnu;XXX;Bentong
;;ycl;XXX;Lolopo
;;tgo;XXX;Sudest
;;kbi;XXX;Kaptiau
;;xhd;XXX;Hadrami
;;otn;XXX;Tenango Otomi
;;fom;XXX;Foma
;;bgz;XXX;Banggai
;;ssh;XXX;Shihhi Arabic
;;geb;XXX;Kire
;;duq;XXX;Dusun Malang
;;onr;XXX;Northern One
;;kfx;XXX;Kullu Pahari
;;lcl;XXX;Lisela
;;kcv;XXX;Kete
;;xml;XXX;Malaysian Sign Language
;;nej;XXX;Neko
;;myb;XXX;Mbay
;;brp;XXX;Barapasi
;;ymt;XXX;Mator-Taygi-Karagas
;;aqn;XXX;Northern Alta
;;cuh;XXX;Chuka
;;crx;XXX;Carrier
;;ogc;XXX;Ogbah
;;zaf;XXX;Ayoquesco Zapotec
;;mow;XXX;Moi (Congo)
;;sps;XXX;Saposa
;;nhb;XXX;Beng
;;bij;XXX;Vaghat-Ya-Bijim-Legeri
;;ngd;XXX;Ngando (Central African Republic)
;;npa;XXX;Nar Phu
;;din;XXX;Dinka
;;njx;XXX;Kunyi
;;xow;XXX;Kowaki
;;noc;XXX;Nuk
;;pre;XXX;Principense
;;gho;XXX;Ghomara
;;ddo;XXX;Dido
;;ane;XXX;Xârâcùù
;;mox;XXX;Molima
;;oty;XXX;Old Tamil
;;mwn;XXX;Nyamwanga
;;gub;XXX;Guajajára
;;tog;XXX;Tonga (Nyasa)
;;moi;XXX;Mboi
;;meb;XXX;Ikobi-Mena
;;bgq;XXX;Bagri
;;ssq;XXX;So'a
;;jer;XXX;Jere
;;szv;XXX;Isu (Fako Division)
;;bbg;XXX;Barama
;;ttr;XXX;Tera
;;tca;XXX;Ticuna
;;lbk;XXX;Central Bontok
;;keq;XXX;Kamar
;;nek;XXX;Neku
;;ibe;XXX;Akpes
;;mqx;XXX;Mamuju
;;gux;XXX;Gourmanchéma
;;kvw;XXX;Wersing
;;rav;XXX;Sampang
;;noa;XXX;Woun Meu
;;crt;XXX;Iyojwa'ja Chorote
;;xto;XXX;Tokharian A
;;mnb;XXX;Muna
;;lli;XXX;Teke-Laali
;;tpg;XXX;Kula
;;ruu;XXX;Lanas Lobu
;;bmj;XXX;Bote-Majhi
;;lgi;XXX;Lengilu
;;hiw;XXX;Hiw
;;elu;XXX;Elu
;;fwa;XXX;Fwâi
;;yac;XXX;Pass Valley Yali
;;mup;XXX;Malvi
;;fat;XXX;Fanti
;;zmv;XXX;Mbariman-Gudhinma
;;yab;XXX;Yuhup
;;bwe;XXX;Bwe Karen
;;god;XXX;Godié
;;mxn;XXX;Moi (Indonesia)
;;njb;XXX;Nocte Naga
;;wnd;XXX;Wandarang
;;mpi;XXX;Mpade
;;sgw;XXX;Sebat Bet Gurage
;;tao;XXX;Yami
;;kgj;XXX;Gamale Kham
;;bse;XXX;Wushi
;;syo;XXX;Suoy
;;nnc;XXX;Nancere
;;kiv;XXX;Kimbu
;;njm;XXX;Angami Naga
;;meq;XXX;Merey
;;mpm;XXX;Yosondúa Mixtec
;;juo;XXX;Jiba
;;kpy;XXX;Koryak
;;tov;XXX;Upper Taromi
;;snh;XXX;Shinabo
;;ayg;XXX;Ginyanga
;;she;XXX;Sheko
;;adh;XXX;Adhola
;;alx;XXX;Amol
;;xeu;XXX;Keoru-Ahia
;;kdu;XXX;Kadaru
;;pmc;XXX;Palumata
;;ada;XXX;Adangme
;;mgt;XXX;Mongol
;;khj;XXX;Kuturmi
;;bok;XXX;Bonjo
;;xay;XXX;Kayan Mahakam
;;act;XXX;Achterhoeks
;;brk;XXX;Birked
;;tug;XXX;Tunia
;;kbr;XXX;Kafa
;;mpr;XXX;Vangunu
;;ktu;XXX;Kituba (Democratic Republic of Congo)
;;pau;XXX;Palauan
;;bhh;XXX;Bukharic
;;eyo;XXX;Keiyo
;;bhs;XXX;Buwal
;;biy;XXX;Birhor
;;bzi;XXX;Bisu
;;amx;XXX;Anmatyerre
;;xmn;XXX;Manichaean Middle Persian
;;luu;XXX;Lumba-Yakkha
;;cts;XXX;Northern Catanduanes Bicolano
;;txx;XXX;Tatana
;;roo;XXX;Rotokas
;;pla;XXX;Miani
;;wry;XXX;Merwari
;;way;XXX;Wayana
;;qxt;XXX;Santa Ana de Tusi Pasco Quechua
;;mrg;XXX;Mising
;;lnd;XXX;Lundayeh
;;bkx;XXX;Baikeno
;;awi;XXX;Aekyom
;;quf;XXX;Lambayeque Quechua
;;ung;XXX;Ngarinyin
;;yif;XXX;Ache
;;sno;XXX;Snohomish
;;mzb;XXX;Tumzabt
;;lww;XXX;Lewo
;;sdk;XXX;Sos Kundi
;;dbi;XXX;Doka
;;pne;XXX;Western Penan
;;lkj;XXX;Remun
;;gbr;XXX;Gbagyi
;;drb;XXX;Dair
;;awm;XXX;Arawum
;;ibu;XXX;Ibu
;;ekp;XXX;Ekpeye
;;msx;XXX;Moresada
;;cni;XXX;Asháninka
;;smh;XXX;Samei
;;slg;XXX;Selungai Murut
;;sln;XXX;Salinan
;;nmw;XXX;Nimoa
;;zsa;XXX;Sarasira
;;mnk;XXX;Mandinka
;;yrb;XXX;Yareba
;;tnb;XXX;Western Tunebo
;;mle;XXX;Manambu
;;hoj;XXX;Hadothi
;;dnn;XXX;Dzùùngoo
;;bes;XXX;Besme
;;san;XXX;Sanskrit
;;caf;XXX;Southern Carrier
;;ccd;XXX;Cafundo Creole
;;mwo;XXX;Central Maewo
;;lgr;XXX;Lengo
;;mlf;XXX;Mal
;;ino;XXX;Inoke-Yate
;;icr;XXX;Islander Creole English
;;apf;XXX;Pahanan Agta
;;uro;XXX;Ura (Papua New Guinea)
;;smo;XXX;Samoan
;;sig;XXX;Paasaal
;;ccr;XXX;Cacaopera
;;bhb;XXX;Bhili
;;wtf;XXX;Watiwa
;;lwe;XXX;Lewo Eleng
;;ylu;XXX;Aribwaung
;;dhl;XXX;Dhalandji
;;ibl;XXX;Ibaloi
;;tpp;XXX;Pisaflores Tepehua
;;qve;XXX;Eastern Apurímac Quechua
;;pnx;XXX;Phong-Kniang
;;wri;XXX;Wariyangga
;;ukl;XXX;Ukrainian Sign Language
;;tlc;XXX;Yecuatla Totonac
;;kfi;XXX;Kannada Kurumba
;;btg;XXX;Gagnoa Bété
;;bqp;XXX;Busa
;;kty;XXX;Kango (Bas-Uélé District)
;;khc;XXX;Tukang Besi North
;;kyi;XXX;Kiput
;;jav;XXX;Javanese
;;tst;XXX;Tondi Songway Kiini
;;ttb;XXX;Gaa
;;ifu;XXX;Mayoyao Ifugao
;;mzi;XXX;Ixcatlán Mazatec
;;pmy;XXX;Papuan Malay
;;oog;XXX;Ong
;;trp;XXX;Kok Borok
;;anc;XXX;Ngas
;;nnv;XXX;Nugunu (Australia)
;;kku;XXX;Tumi
;;kfc;XXX;Konda-Dora
;;cid;XXX;Chimariko
;;pbe;XXX;Mezontla Popoloca
;;msf;XXX;Mekwei
;;raf;XXX;Western Meohang
;;wow;XXX;Wawonii
;;itb;XXX;Binongan Itneg
;;kpj;XXX;Karajá
;;abx;XXX;Inabaknon
;;mqi;XXX;Mariri
;;enm;XXX;Middle English (1100-1500)
;;boh;XXX;Boma
;;mdp;XXX;Mbala
;;pti;XXX;Pintiini
;;jae;XXX;Yabem
;;bhz;XXX;Bada (Indonesia)
;;duv;XXX;Duvle
;;bwz;XXX;Bwisi
;;zsk;XXX;Kaskean
;;sdb;XXX;Shabak
;;nmk;XXX;Namakura
;;kqm;XXX;Khisa
;;ncd;XXX;Nachering
;;kaz;XXX;Kazakh
;;sbm;XXX;Sagala
;;mkp;XXX;Moikodi
;;gbd;XXX;Karadjeri
;;ktb;XXX;Kambaata
;;cll;XXX;Chala
;;bhq;XXX;Tukang Besi South
;;mqn;XXX;Moronene
;;ijc;XXX;Izon
;;bdu;XXX;Oroko
;;nds;XXX;Low German
;;lhp;XXX;Lhokpu
;;prg;XXX;Prussian
;;lmo;XXX;Lombard
;;oht;XXX;Old Hittite
;;ncp;XXX;Ndaktup
;;gio;XXX;Gelao
;;bie;XXX;Bepour
;;jut;XXX;Jutish
;;xkr;XXX;Xakriabá
;;yap;XXX;Yapese
;;nrt;XXX;Northern Kalapuya
;;zbe;XXX;East Berawan
;;lnl;XXX;South Central Banda
;;krl;XXX;Karelian
;;aai;XXX;Arifama-Miniafia
;;pnt;XXX;Pontic
;;vka;XXX;Kariyarra
;;kfl;XXX;Kung
;;qws;XXX;Sihuas Ancash Quechua
;;lto;XXX;Tsotso
;;lob;XXX;Lobi
;;hil;XXX;Hiligaynon
;;myd;XXX;Maramba
;;sht;XXX;Shasta
;;hac;XXX;Gurani
;;btp;XXX;Budibud
;;abz;XXX;Abui
;;liz;XXX;Libinza
;;atk;XXX;Ati
;;tnd;XXX;Angosturas Tunebo
;;bhp;XXX;Bima
;;aof;XXX;Bragat
;;psa;XXX;Asue Awyu
;;pmw;XXX;Plains Miwok
;;bjk;XXX;Barok
;;kow;XXX;Kugama
;;dbl;XXX;Dyirbal
;;enq;XXX;Enga
;;unp;XXX;Worora
;;tab;XXX;Tabassaran
;;kbc;XXX;Kadiwéu
;;say;XXX;Saya
;;kfz;XXX;Koromfé
;;kjm;XXX;Kháng
;;abe;XXX;Western Abnaki
;;wul;XXX;Silimo
;;nzy;XXX;Nzakambay
;;crc;XXX;Lonwolwol
;;mip;XXX;Apasco-Apoala Mixtec
;;mca;XXX;Maca
;;cmn;XXX;Mandarin Chinese
;;adp;XXX;Adap
;;atp;XXX;Pudtol Atta
;;sec;XXX;Sechelt
;;xbc;XXX;Bactrian
;;soc;XXX;So (Democratic Republic of Congo)
;;tck;XXX;Tchitchege
;;iar;XXX;Purari
;;bob;XXX;Aweer
;;sak;XXX;Sake
;;mwr;XXX;Marwari
;;bbe;XXX;Bangba
;;xkk;XXX;Kaco'
;;hbn;XXX;Heiban
;;mal;XXX;Malayalam
;;pgs;XXX;Pangseng
;;wec;XXX;Wè Western
;;pit;XXX;Pitta Pitta
;;jih;XXX;Shangzhai
;;kjf;XXX;Khalaj
;;kih;XXX;Kilmeri
;;atg;XXX;Ivbie North-Okpela-Arhe
;;sge;XXX;Segai
;;klb;XXX;Kiliwa
;;xiy;XXX;Xipaya
;;tcm;XXX;Tanahmerah
;;mqe;XXX;Matepi
;;moa;XXX;Mwan
;;jid;XXX;Bu
;;pmj;XXX;Southern Pumi
;;vls;XXX;Vlaams
;;eip;XXX;Eipomek
;;rod;XXX;Rogo
;;doi;XXX;Dogri (macrolanguage)
;;wlm;XXX;Middle Welsh
;;thl;XXX;Dangaura Tharu
;;mve;XXX;Marwari (Pakistan)
;;trm;XXX;Tregami
;;nfa;XXX;Dhao
;;twf;XXX;Northern Tiwa
;;ths;XXX;Thakali
;;bpr;XXX;Koronadal Blaan
;;jnl;XXX;Rawat
;;wan;XXX;Wan
;;tzx;XXX;Tabriak
;;haz;XXX;Hazaragi
;;hle;XXX;Hlersu
;;wyr;XXX;Wayoró
;;mzp;XXX;Movima
;;awr;XXX;Awera
;;cik;XXX;Chitkuli Kinnauri
;;mhi;XXX;Ma'di
;;csm;XXX;Central Sierra Miwok
;;xve;XXX;Venetic
;;kkf;XXX;Kalaktang Monpa
;;kmn;XXX;Awtuw
;;squ;XXX;Squamish
;;mls;XXX;Masalit
;;abm;XXX;Abanyom
;;tdq;XXX;Tita
;;lyn;XXX;Luyana
;;pga;XXX;Sudanese Creole Arabic
;;blk;XXX;Pa'o Karen
;;ort;XXX;Adivasi Oriya
;;psl;XXX;Puerto Rican Sign Language
;;lnz;XXX;Lonzo
;;tih;XXX;Timugon Murut
;;ixl;XXX;Ixil
;;mxm;XXX;Meramera
;;grr;XXX;Taznatit
;;ala;XXX;Alago
;;law;XXX;Lauje
;;mlo;XXX;Mlomp
;;bvo;XXX;Bolgo
;;uig;XXX;Uighur
;;mif;XXX;Mofu-Gudur
;;bud;XXX;Ntcham
;;csb;XXX;Kashubian
;;auz;XXX;Uzbeki Arabic
;;plj;XXX;Polci
;;qvn;XXX;North Junín Quechua
;;kxj;XXX;Kulfa
;;mmq;XXX;Musak
;;kcf;XXX;Ukaan
;;kok;XXX;Konkani (macrolanguage)
;;mki;XXX;Dhatki
;;aci;XXX;Aka-Cari
;;skn;XXX;Kolibugan Subanon
;;hoa;XXX;Hoava
;;hmg;XXX;Southwestern Guiyang Hmong
;;gro;XXX;Groma
;;aes;XXX;Alsea
;;bdc;XXX;Emberá-Baudó
;;chd;XXX;Highland Oaxaca Chontal
;;ori;XXX;Oriya
;;aug;XXX;Aguna
;;pam;XXX;Pampanga
;;rbk;XXX;Northern Bontok
;;aar;XXX;Afar
;;rit;XXX;Ritarungo
;;mfh;XXX;Matal
;;gnt;XXX;Guntai
;;kod;XXX;Kodi
;;bug;XXX;Buginese
;;bak;XXX;Bashkir
;;bek;XXX;Bebeli
;;ayu;XXX;Ayu
;;hij;XXX;Hijuk
;;yag;XXX;Yámana
;;dcr;XXX;Negerhollands
;;itv;XXX;Itawit
;;mhl;XXX;Mauwake
;;lic;XXX;Hlai
;;pyx;XXX;Pyu (Myanmar)
;;bfj;XXX;Bafanji
;;wlv;XXX;Wichí Lhamtés Vejoz
;;uga;XXX;Ugaritic
;;tax;XXX;Tamki
;;auk;XXX;Heyo
;;awb;XXX;Awa (Papua New Guinea)
;;yit;XXX;Eastern Lalu
;;wuh;XXX;Wutunhua
;;yde;XXX;Yangum Dey
;;sgg;XXX;Swiss-German Sign Language
;;pib;XXX;Yine
;;mfq;XXX;Moba
;;bcq;XXX;Bench
;;mml;XXX;Man Met
;;eli;XXX;Nding
;;bma;XXX;Lame
;;xbx;XXX;Kabixí
;;bde;XXX;Bade
;;mvl;XXX;Mbara (Australia)
;;xvs;XXX;Vestinian
;;glv;XXX;Manx
;;sbq;XXX;Sileibi
;;bcg;XXX;Baga Binari
;;tsc;XXX;Tswa
;;sej;XXX;Sene
;;smv;XXX;Samvedi
;;rtm;XXX;Rotuman
;;xwc;XXX;Woccon
;;ake;XXX;Akawaio
;;ved;XXX;Veddah
;;vas;XXX;Vasavi
;;lmf;XXX;South Lembata
;;bvj;XXX;Baan
;;its;XXX;Isekiri
;;rax;XXX;Rang
;;kco;XXX;Kinalakna
;;rge;XXX;Romano-Greek
;;pwg;XXX;Gapapaiwa
;;ida;XXX;Idakho-Isukha-Tiriki
;;sui;XXX;Suki
;;nbk;XXX;Nake
;;ldd;XXX;Luri
;;fai;XXX;Faiwol
;;kqh;XXX;Kisankasa
;;khu;XXX;Nkhumbi
;;urf;XXX;Uradhi
;;xss;XXX;Assan
;;kak;XXX;Kayapa Kallahan
;;shs;XXX;Shuswap
;;mvx;XXX;Meoswar
;;huw;XXX;Hukumina
;;dud;XXX;Hun-Saare
;;cnl;XXX;Lalana Chinantec
;;aeq;XXX;Aer
;;mrj;XXX;Western Mari
;;mau;XXX;Huautla Mazatec
;;bip;XXX;Bila
;;ngz;XXX;Ngungwel
;;guo;XXX;Guayabero
;;udg;XXX;Muduga
;;lvk;XXX;Lavukaleve
;;sch;XXX;Sakachep
;;crl;XXX;Northern East Cree
;;rmf;XXX;Kalo Finnish Romani
;;zmo;XXX;Molo
;;tbg;XXX;North Tairora
;;swx;XXX;Suruahá
;;aoj;XXX;Mufian
;;hya;XXX;Hya
;;esi;XXX;North Alaskan Inupiatun
;;ebo;XXX;Teke-Ebo
;;gqr;XXX;Gor
;;ywt;XXX;Xishanba Lalo
;;tlr;XXX;Talise
;;mdw;XXX;Mbosi
;;bed;XXX;Bedoanas
;;kca;XXX;Khanty
;;dan;XXX;Danish
;;klx;XXX;Koluwawa
;;ast;XXX;Asturian
;;kqf;XXX;Kakabai
;;nhz;XXX;Santa María La Alta Nahuatl
;;daz;XXX;Dao
;;lka;XXX;Lakalei
;;end;XXX;Ende
;;urx;XXX;Urimo
;;dob;XXX;Dobu
;;wfg;XXX;Yafi
;;ggl;XXX;Ganglau
;;sti;XXX;Bulo Stieng
;;kio;XXX;Kiowa
;;qya;XXX;Quenya
;;gai;XXX;Borei
;;tbp;XXX;Taworta
;;nau;XXX;Nauru
;;ona;XXX;Ona
;;xty;XXX;Yoloxochitl Mixtec
;;wua;XXX;Wikngenchera
;;kkn;XXX;Kon Keu
;;ngo;XXX;Ngoni
;;naa;XXX;Namla
;;hmc;XXX;Central Huishui Hmong
;;zmf;XXX;Mfinu
;;yln;XXX;Langnian Buyang
;;nhe;XXX;Eastern Huasteca Nahuatl
;;yug;XXX;Yug
;;czn;XXX;Zenzontepec Chatino
;;bhi;XXX;Bhilali
;;wae;XXX;Walser
;;bjd;XXX;Bandjigali
;;ijn;XXX;Kalabari
;;tsf;XXX;Southwestern Tamang
;;fam;XXX;Fam
;;tgy;XXX;Togoyo
;;nba;XXX;Nyemba
;;bmt;XXX;Biao Mon
;;mde;XXX;Maba (Chad)
;;wtw;XXX;Wotu
;;nvh;XXX;Nasarian
;;jen;XXX;Dza
;;bov;XXX;Tuwuli
;;gmb;XXX;Gula'alaa
;;waa;XXX;Walla Walla
;;ihi;XXX;Ihievbe
;;tpy;XXX;Trumai
;;nhv;XXX;Temascaltepec Nahuatl
;;lri;XXX;Marachi
;;huf;XXX;Humene
;;xku;XXX;Kaamba
;;ktg;XXX;Kalkutung
;;baa;XXX;Babatana
;;lam;XXX;Lamba
;;qui;XXX;Quileute
;;jiv;XXX;Shuar
;;loc;XXX;Inonhan
;;aad;XXX;Amal
;;mcx;XXX;Mpiemo
;;mte;XXX;Mono (Solomon Islands)
;;chw;XXX;Chuwabu
;;vnp;XXX;Vunapu
;;kut;XXX;Kutenai
;;kdv;XXX;Kado
;;tgg;XXX;Tangga
;;nga;XXX;Ngbaka
;;lsy;XXX;Mauritian Sign Language
;;gbo;XXX;Northern Grebo
;;kia;XXX;Kim
;;okh;XXX;Koresh-e Rostam
;;nbj;XXX;Ngarinman
;;iyx;XXX;Yaka (Congo)
;;znk;XXX;Manangkari
;;tqw;XXX;Tonkawa
;;gwj;XXX;/Gwi
;;hmy;XXX;Southern Guiyang Hmong
;;djm;XXX;Jamsay Dogon
;;umr;XXX;Umbugarla
;;iwm;XXX;Iwam
;;ggk;XXX;Kungarakany
;;gdu;XXX;Gudu
;;ubr;XXX;Ubir
;;huc;XXX;=/Hua
;;dee;XXX;Dewoin
;;bsk;XXX;Burushaski
;;asm;XXX;Assamese
;;seu;XXX;Serui-Laut
;;ynk;XXX;Naukan Yupik
;;nug;XXX;Nungali
;;gwr;XXX;Gwere
;;glu;XXX;Gula (Chad)
;;dje;XXX;Zarma
;;csw;XXX;Swampy Cree
;;sjr;XXX;Siar-Lak
;;btu;XXX;Batu
;;rka;XXX;Kraol
;;mkg;XXX;Mak (China)
;;dtk;XXX;Tene Kan Dogon
;;mop;XXX;Mopán Maya
;;bws;XXX;Bomboma
;;txe;XXX;Totoli
;;mmx;XXX;Madak
;;tgr;XXX;Tareng
;;vku;XXX;Kurrama
;;urp;XXX;Uru-Pa-In
;;rom;XXX;Romany
;;pcl;XXX;Pardhi
;;bio;XXX;Nai
;;bqv;XXX;Begbere-Ejar
;;ich;XXX;Etkywan
;;nhn;XXX;Central Nahuatl
;;nnp;XXX;Wancho Naga
;;gne;XXX;Ganang
;;cle;XXX;Lealao Chinantec
;;ssc;XXX;Suba-Simbiti
;;imy;XXX;Milyan
;;agf;XXX;Arguni
;;wbm;XXX;Wa
;;ono;XXX;Onondaga
;;bby;XXX;Befang
;;zbw;XXX;West Berawan
;;ury;XXX;Orya
;;goz;XXX;Gozarkhani
;;anq;XXX;Jarawa (India)
;;vmc;XXX;Juxtlahuaca Mixtec
;;lmx;XXX;Laimbue
;;fan;XXX;Fang (Equatorial Guinea)
;;div;XXX;Dhivehi
;;wrn;XXX;Warnang
;;sku;XXX;Sakao
;;otb;XXX;Old Tibetan
;;kol;XXX;Kol (Papua New Guinea)
;;kmm;XXX;Kom (India)
;;gmh;XXX;Middle High German (ca. 1050-1500)
;;ksk;XXX;Kansa
;;hum;XXX;Hungana
;;qup;XXX;Southern Pastaza Quechua
;;tis;XXX;Masadiit Itneg
;;zga;XXX;Kinga
;;kvx;XXX;Parkari Koli
;;aig;XXX;Antigua and Barbuda Creole English
;;ihb;XXX;Iha Based Pidgin
;;bvx;XXX;Dibole
;;rsi;XXX;Rennellese Sign Language
;;kno;XXX;Kono (Sierra Leone)
;;krr;XXX;Kru'ng 2
;;ubu;XXX;Umbu-Ungu
;;mts;XXX;Yora
;;sbd;XXX;Southern Samo
;;gju;XXX;Gujari
;;bnm;XXX;Batanga
;;doh;XXX;Dong
;;oku;XXX;Oku
;;lcs;XXX;Lisabata-Nuniali
;;knd;XXX;Konda
;;ikz;XXX;Ikizu
;;aij;XXX;Lishanid Noshan
;;tyn;XXX;Kombai
;;dag;XXX;Dagbani
;;amy;XXX;Ami
;;bnr;XXX;Butmas-Tur
;;sru;XXX;Suruí
;;mgb;XXX;Mararit
;;zph;XXX;Totomachapan Zapotec
;;xod;XXX;Kokoda
;;dgn;XXX;Dagoman
;;ttc;XXX;Tektiteko
;;sde;XXX;Surubu
;;sck;XXX;Sadri
;;gdq;XXX;Mehri
;;dbo;XXX;Dulbu
;;woo;XXX;Manombai
;;nsq;XXX;Northern Sierra Miwok
;;czt;XXX;Zotung Chin
;;srm;XXX;Saramaccan
;;glc;XXX;Bon Gula
;;dor;XXX;Dori'o
;;ari;XXX;Arikara
;;bkj;XXX;Pande
;;eya;XXX;Eyak
;;brr;XXX;Birao
;;azz;XXX;Highland Puebla Nahuatl
;;tys;XXX;Tày Sa Pa
;;igg;XXX;Igana
;;xpg;XXX;Phrygian
;;pgi;XXX;Pagi
;;ndk;XXX;Ndaka
;;xht;XXX;Hattic
;;aoc;XXX;Pemon
;;ilu;XXX;Ili'uun
;;bev;XXX;Daloa Bété
;;pus;XXX;Pushto
;;rhg;XXX;Rohingya
;;kbj;XXX;Kari
;;cug;XXX;Cung
;;tby;XXX;Tabaru
;;swj;XXX;Sira
;;pum;XXX;Puma
;;laa;XXX;Southern Subanen
;;brx;XXX;Bodo (India)
;;ugn;XXX;Ugandan Sign Language
;;bgn;XXX;Western Balochi
;;rme;XXX;Angloromani
;;nxm;XXX;Numidian
;;nyi;XXX;Ama (Sudan)
;;ame;XXX;Yanesha'
;;yom;XXX;Yombe
;;mni;XXX;Manipuri
;;wew;XXX;Wejewa
;;mvz;XXX;Mesqan
;;kjt;XXX;Phrae Pwo Karen
;;gle;XXX;Irish
;;pkr;XXX;Attapady Kurumba
;;ktp;XXX;Kaduo
;;tly;XXX;Talysh
;;zae;XXX;Yareni Zapotec
;;bwl;XXX;Bwela
;;nei;XXX;Neo-Hittite
;;eka;XXX;Ekajuk
;;ckt;XXX;Chukot
;;cin;XXX;Cinta Larga
;;ukq;XXX;Ukwa
;;vid;XXX;Vidunda
;;xok;XXX;Xokleng
;;rmg;XXX;Traveller Norwegian
;;coq;XXX;Coquille
;;nmz;XXX;Nawdm
;;kmt;XXX;Kemtuik
;;tkf;XXX;Tukumanféd
;;new;XXX;Newari
;;srd;XXX;Sardinian
;;osa;XXX;Osage
;;mco;XXX;Coatlán Mixe
;;bnk;XXX;Bierebo
;;kqs;XXX;Northern Kissi
;;nll;XXX;Nihali
;;bzb;XXX;Andio
;;bst;XXX;Basketo
;;org;XXX;Oring
;;orz;XXX;Ormu
;;ogo;XXX;Khana
;;lov;XXX;Lopi
;;nuz;XXX;Tlamacazapa Nahuatl
;;kqx;XXX;Mser
;;ciw;XXX;Chippewa
;;yno;XXX;Yong
;;cdo;XXX;Min Dong Chinese
;;nuu;XXX;Ngbundu
;;sei;XXX;Seri
;;xap;XXX;Apalachee
;;nkh;XXX;Khezha Naga
;;mwd;XXX;Mudbura
;;kkt;XXX;Koi
;;nop;XXX;Numanggang
;;mum;XXX;Maiwala
;;wmw;XXX;Mwani
;;kov;XXX;Kudu-Camo
;;ilb;XXX;Ila
;;ign;XXX;Ignaciano
;;swc;XXX;Congo Swahili
;;bfm;XXX;Mmen
;;gya;XXX;Northwest Gbaya
;;wod;XXX;Wolani
;;hgw;XXX;Haigwai
;;xcr;XXX;Carian
;;pal;XXX;Pahlavi
;;jms;XXX;Mashi (Nigeria)
;;clw;XXX;Chulym
;;fui;XXX;Bagirmi Fulfulde
;;che;XXX;Chechen
;;min;XXX;Minangkabau
;;dmx;XXX;Dema
;;ban;XXX;Balinese
;;kri;XXX;Krio
;;aja;XXX;Aja (Sudan)
;;rau;XXX;Raute
;;kdg;XXX;Seba
;;agk;XXX;Isarog Agta
;;xab;XXX;Sambe
;;tnp;XXX;Whitesands
;;lel;XXX;Lele (Democratic Republic of Congo)
;;cac;XXX;Chuj
;;ssv;XXX;Shark Bay
;;tqn;XXX;Tenino
;;myx;XXX;Masaaba
;;nsh;XXX;Ngoshie
;;byv;XXX;Medumba
;;tft;XXX;Ternate
;;mie;XXX;Ocotepec Mixtec
;;tmn;XXX;Taman (Indonesia)
;;mmb;XXX;Momina
;;apu;XXX;Apurinã
;;koe;XXX;Kacipo-Balesi
;;klm;XXX;Migum
;;aiq;XXX;Aimaq
;;sya;XXX;Siang
;;tmw;XXX;Temuan
;;ner;XXX;Yahadian
;;emw;XXX;Emplawas
;;nrl;XXX;Ngarluma
;;zir;XXX;Ziriya
;;kxp;XXX;Wadiyara Koli
;;kuq;XXX;Karipuna
;;fgr;XXX;Fongoro
;;cwt;XXX;Kuwaataay
;;efe;XXX;Efe
;;adu;XXX;Aduge
;;nzi;XXX;Nzima
;;vto;XXX;Vitou
;;stp;XXX;Southeastern Tepehuan
;;klt;XXX;Nukna
